BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F0:B4:29:80:70:8D, 2019-07-01 17:41:17, 2019-07-01 17:44:12,  4, 130, WPA2, CCMP, PSK, -74,       34,        0,   0.  0.  0.  0,   6, Bogdan, 
84:74:2A:4B:31:A4, 2019-07-01 17:42:08, 2019-07-01 17:44:13,  1,  54, WPA, TKIP, PSK, -79,        9,        0,   0.  0.  0.  0,  17, UKrtelecom_vRf2tz, 
D4:6E:5C:56:12:98, 2019-07-01 17:41:16, 2019-07-01 17:44:05,  2,  54, WPA2, TKIP, PSK, -73,       14,        0,   0.  0.  0.  0,  19, Huawei_HG532e_61290, 
14:4D:67:05:6A:40, 2019-07-01 17:41:21, 2019-07-01 17:44:05,  2, 270, WPA2, CCMP, PSK, -77,       18,        0,   0.  0.  0.  0,   5, Nueth, 
10:44:00:A0:70:0D, 2019-07-01 17:41:15, 2019-07-01 17:44:04,  1, 130, WPA2, CCMP, PSK, -84,       25,        0,   0.  0.  0.  0,   7, NOVA_DK, 
7C:76:68:AB:19:FC, 2019-07-01 17:41:20, 2019-07-01 17:43:50,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -84,        8,        0,   0.  0.  0.  0,   7, NOVA_DL, 
C0:25:E9:02:1C:05, 2019-07-01 17:43:39, 2019-07-01 17:43:39, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
64:70:02:F8:B9:D6, 2019-07-01 17:41:18, 2019-07-01 17:43:39, 11, 270, WPA2 WPA, CCMP TKIP, PSK, -84,        4,        0,   0.  0.  0.  0,   7, OstNetX, 
AC:84:C6:B3:4B:EA, 2019-07-01 17:42:02, 2019-07-01 17:43:38,  4, 195, WPA2 WPA, CCMP TKIP, PSK, -86,        1,        0,   0.  0.  0.  0,   8, Argument, 
78:44:76:FF:CC:68, 2019-07-01 17:41:16, 2019-07-01 17:43:26,  2, 270, WPA2, CCMP, PSK, -81,       13,        1,   0.  0.  0.  0,  16, TOTOLINK_A3002RU, 
F4:EC:38:D6:B4:D2, 2019-07-01 17:41:42, 2019-07-01 17:43:24,  5,  54, WPA2 WPA, CCMP TKIP, PSK, -84,        3,        0,   0.  0.  0.  0,   4, ifak, 
7C:8B:CA:B2:AC:8C, 2019-07-01 17:42:52, 2019-07-01 17:42:52,  1, 270, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,   9, office_IO, 
E4:BE:ED:4C:28:8F, 2019-07-01 17:42:12, 2019-07-01 17:42:12,  6, 130, WPA2, CCMP TKIP, PSK, -79,        1,        0,   0.  0.  0.  0,   7, Umberto, 
A4:2B:B0:E7:30:5D, 2019-07-01 17:42:08, 2019-07-01 17:42:08,  1, 405, WPA2 WPA, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,   7, Netgear, 
00:22:15:1B:7E:94, 2019-07-01 17:41:15, 2019-07-01 17:42:32,  7,  54, WPA2, CCMP, PSK, -79,        5,        0,   0.  0.  0.  0,   7, Aninet2, 
C0:25:E9:D3:3A:4C, 2019-07-01 17:41:16, 2019-07-01 17:43:22,  2, 270, WPA2, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,   3, Kv4, 
88:75:56:EC:38:A3, 2019-07-01 17:42:53, 2019-07-01 17:43:22,  8,  -1, OPN, ,   ,  -1,        0,       10, 192.168. 79.202,   0, , 
CC:2D:E0:A9:62:CB, 2019-07-01 17:43:19, 2019-07-01 17:43:19, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
78:44:76:FF:B4:08, 2019-07-01 17:42:18, 2019-07-01 17:43:59,  1, 270, WPA2, CCMP, PSK, -84,        2,        0,   0.  0.  0.  0,  16, TOTOLINK_A3002RU, 
B0:48:7A:DC:42:18, 2019-07-01 17:41:57, 2019-07-01 17:43:58, 11,  54, WPA2 WPA, CCMP, PSK, -81,        4,        0,   0.  0.  0.  0,   7, Volia-2, 
14:4D:67:31:F7:E8, 2019-07-01 17:41:16, 2019-07-01 17:44:10,  2, 270, WPA2, CCMP, PSK, -82,        9,        0,   0.  0.  0.  0,   7, Taras75, 
EC:08:6B:29:2A:DC, 2019-07-01 17:43:03, 2019-07-01 17:44:06,  3, 270, WPA2, CCMP, PSK, -80,        4,        0,   0.  0.  0.  0,   4, YURI, 
04:8D:38:62:8B:D3, 2019-07-01 17:41:15, 2019-07-01 17:44:06,  1, 270, WPA2, CCMP TKIP, PSK, -80,       22,        1,   0.  0.  0.  0,   9, CiscoWlan, 
30:B5:C2:3B:42:18, 2019-07-01 17:41:19, 2019-07-01 17:44:08,  6, 270, WPA2 WPA, CCMP, PSK, -75,       27,        9,   0.  0.  0.  0,   9, JT TRAVEL, 
00:22:6B:95:09:61, 2019-07-01 17:41:18, 2019-07-01 17:44:22, 11,  54, WPA2 WPA, CCMP TKIP, PSK, -83,        5,        0,   0.  0.  0.  0,   8, ukrkomun, 
14:4D:67:31:0B:F8, 2019-07-01 17:41:19, 2019-07-01 17:44:27, 11, 270, WPA2, CCMP, PSK, -82,       25,        0,   0.  0.  0.  0,   9, Gorngroup, 
F4:9F:F3:BC:13:0C, 2019-07-01 17:41:23, 2019-07-01 17:44:22, 11, 130, WPA2, CCMP TKIP, PSK, -81,       34,        0,   0.  0.  0.  0,   9, UKrtel 14, 
